id;street_address;postal_code;city;state_province
1;sweetly idealistic;while;Diegofurt;blah plus merrily
2;zero;above;Jaydenfort;tights graduate more
3;revoke up across;bin leap mushy;Stehrmouth;jovial failing
4;fast broiler after;canonize uh-huh;Fort Camylle;soldier ew adduce
5;ick orbit;disinvest;Fayechester;gadzooks
6;defoliate who;gee;Rowanberg;keen until
7;style symptomize;out;Joanniehaven;mealy hmph
8;ack;alongside;West Tiara;loftily machine whereas
9;excitedly dry;since pregnancy;West Lupe;desolate yippee ack
10;ugh;uh-huh gadzooks duh;Wardworth;which
