id;nome;preco;categoria;imagem
1;butcher index;15951.57;bloomer supposing tidy;abaft
2;stint oh;9377.35;ack apud before;wingman duel physically
3;insidious minor;23592.6;of;over prevail
4;harmful stain nearly;4531.77;whether knobby mmm;eek angelic arrival
5;boohoo;26750.65;segment tenderly;pelican whose
6;whoever;21351.35;absent;phew um
7;counterbalance whoever;8836.82;through fidget really;however
8;finally;7981.42;mysteriously enthusiastically;times than mute
9;new;30112.51;gah diligently kindheartedly;politely situate barring
10;whenever versus kindly;17237.87;modulo avaricious;cough aha passenger
