id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2023-11-27T18:21:05;PAID;7893.63;IDEAL;cleverly;1
2;2023-11-28T00:59:23;PAID;31838.34;IDEAL;before feline;2
3;2023-11-28T07:26:19;PAID;989.7;CREDIT_CARD;but barring;1
4;2023-11-28T03:56:06;COMPLETED;2236.56;IDEAL;within that;2
5;2023-11-28T03:05:25;REFUNDED;16463.74;IDEAL;since;1
6;2023-11-28T05:02:52;REFUNDED;16745.77;IDEAL;rumble squish near;1
7;2023-11-28T07:50:06;CANCELLED;8741.98;CREDIT_CARD;meh arthur;2
8;2023-11-28T10:29:25;REFUNDED;9514.6;IDEAL;trafficker;2
9;2023-11-28T06:42:49;REFUNDED;25220.18;IDEAL;unequaled liquid;2
10;2023-11-28T04:12:38;PAID;14820.31;IDEAL;jumpy past;1
